name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Yerevan,Armenia",2021-04-23,25.6,8.0,17.0,25.6,8.0,17.0,0.0,35.9,0.0,0,0.0,,0.0,0.0,25.9,14.6,276.0,1018.2,0.9,14.7,334.8,29.0,10,,2021-04-23T06:12:19,2021-04-23T19:48:54,0.37,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-24,26.9,11.6,18.6,26.0,11.6,18.6,1.9,35.2,0.0,0,0.0,,0.0,0.0,,24.4,52.8,1016.6,5.7,14.5,331.0,28.6,10,,2021-04-24T06:10:56,2021-04-24T19:49:56,0.41,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-25,27.5,10.0,20.2,26.4,10.0,20.0,2.7,34.0,0.0,0,0.0,,0.0,0.0,,18.1,70.9,1015.3,24.1,14.4,287.0,24.7,9,,2021-04-25T06:09:34,2021-04-25T19:50:57,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-26,25.9,16.7,20.9,25.9,16.7,20.9,6.3,40.0,0.0,0,0.0,,0.0,0.0,68.4,29.1,100.4,1010.1,54.7,12.6,215.1,18.6,8,,2021-04-26T06:08:12,2021-04-26T19:51:58,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-27,25.7,14.0,20.2,25.7,14.0,20.2,7.1,44.6,1.0,100,4.17,rain,0.0,0.0,64.8,37.3,111.5,1010.5,40.8,12.3,193.1,16.9,8,,2021-04-27T06:06:52,2021-04-27T19:53:00,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-28,26.0,12.0,19.6,26.0,12.0,19.6,7.2,47.1,0.2,100,8.33,rain,0.0,0.0,,22.3,109.4,1014.3,29.2,11.2,288.1,25.1,9,,2021-04-28T06:05:33,2021-04-28T19:54:01,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-29,26.9,13.2,19.9,26.0,13.2,19.8,6.6,47.3,0.3,100,4.17,rain,0.0,0.0,,20.3,77.9,1015.9,50.6,12.9,245.4,21.3,9,,2021-04-29T06:04:15,2021-04-29T19:55:02,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-04-30,26.7,11.0,19.2,26.0,11.0,19.2,6.4,50.3,16.0,100,4.17,rain,0.0,0.0,,22.3,354.9,1015.2,34.4,13.5,269.7,23.3,9,,2021-04-30T06:02:58,2021-04-30T19:56:03,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-01,21.1,12.0,16.0,21.1,12.0,16.0,9.8,69.5,2.0,100,4.17,rain,0.0,0.0,42.5,24.1,324.1,1014.4,59.3,12.6,132.3,11.3,4,,2021-05-01T06:01:42,2021-05-01T19:57:04,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-02,24.0,10.0,17.1,24.0,8.8,17.1,7.0,56.0,1.4,100,37.5,rain,0.0,0.0,,25.3,317.8,1015.3,33.5,14.3,264.3,23.0,8,,2021-05-02T06:00:28,2021-05-02T19:58:05,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-03,26.0,11.0,18.9,26.0,11.0,18.9,4.5,42.4,0.0,0,0.0,,0.0,0.0,,18.4,41.3,1014.3,14.0,14.5,340.9,29.4,10,,2021-05-03T05:59:14,2021-05-03T19:59:05,0.75,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-04,27.0,13.0,19.9,26.1,13.0,19.8,6.4,45.6,0.1,100,4.17,rain,0.0,0.0,25.9,20.5,120.3,1011.0,30.4,14.3,315.5,27.4,10,,2021-05-04T05:58:02,2021-05-04T20:00:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-05,20.0,12.0,15.7,20.0,12.0,15.7,8.9,67.2,18.4,100,8.33,rain,0.0,0.0,,25.7,15.0,1011.5,73.4,12.2,260.3,22.7,9,,2021-05-05T05:56:52,2021-05-05T20:01:06,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-06,23.0,9.0,16.5,23.0,7.6,16.3,5.2,49.7,0.6,100,20.83,rain,0.0,0.0,,18.4,61.3,1013.3,24.0,14.2,322.7,28.0,10,,2021-05-06T05:55:42,2021-05-06T20:02:06,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-07,20.8,12.6,16.6,20.8,12.6,16.6,8.4,60.2,6.0,100,4.17,rain,0.0,0.0,16.6,25.1,45.4,1013.6,48.2,13.5,175.8,15.2,6,,2021-05-07T05:54:34,2021-05-07T20:03:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-08,25.0,10.0,17.6,25.0,10.0,17.6,8.5,60.5,0.3,100,12.5,rain,0.0,0.0,,13.0,91.9,1017.2,14.7,14.4,344.8,29.8,10,,2021-05-08T05:53:27,2021-05-08T20:04:06,0.88,Rain,Clear conditions throughout the day with rain clearing later.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-09,27.8,13.7,19.5,26.8,13.7,19.4,7.7,48.5,0.7,100,12.5,rain,0.0,0.0,63.0,31.6,59.1,1011.3,37.6,13.3,284.2,24.7,9,,2021-05-09T05:52:22,2021-05-09T20:05:05,0.92,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-10,18.0,8.0,12.2,18.0,5.0,11.8,2.5,57.7,8.0,100,4.17,rain,0.0,0.0,,27.7,36.7,1015.8,52.8,12.6,344.1,29.7,10,,2021-05-10T05:51:18,2021-05-10T20:06:04,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-11,20.1,5.0,13.1,20.1,4.0,12.8,2.3,50.7,0.1,100,4.17,rain,0.0,0.0,,24.1,51.8,1014.0,22.6,14.5,358.9,31.1,10,,2021-05-11T05:50:15,2021-05-11T20:07:03,0.0,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-12,27.9,8.0,18.4,26.6,8.0,18.2,5.0,49.2,0.0,0,0.0,,0.0,0.0,,11.2,92.2,1012.8,6.7,13.7,359.5,31.0,10,,2021-05-12T05:49:14,2021-05-12T20:08:01,0.02,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-13,30.8,17.0,22.6,28.8,17.0,22.1,4.3,32.4,0.0,0,0.0,,0.0,0.0,,14.8,73.0,1013.5,18.0,14.5,314.1,27.1,10,,2021-05-13T05:48:15,2021-05-13T20:08:59,0.05,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-14,30.7,16.0,23.1,28.8,16.0,22.6,5.1,33.2,0.0,0,0.0,,0.0,0.0,,15.8,70.4,1015.2,15.0,16.4,342.2,29.5,10,,2021-05-14T05:47:17,2021-05-14T20:09:56,0.09,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,remote,37792099999,35394699999"
"Yerevan,Armenia",2021-05-15,30.0,16.8,23.5,28.2,16.8,23.1,5.8,33.4,0.0,0,0.0,,0.0,0.0,46.4,27.7,40.6,1014.0,15.6,14.5,354.3,30.6,10,,2021-05-15T05:46:20,2021-05-15T20:10:53,0.12,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-16,31.0,16.0,24.1,28.9,16.0,23.6,5.8,34.4,0.0,0,0.0,,0.0,0.0,40.7,25.9,69.0,1010.9,11.6,14.5,345.4,30.0,10,,2021-05-16T05:45:25,2021-05-16T20:11:50,0.15,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-17,31.1,18.8,25.0,29.0,18.8,24.4,3.9,28.1,0.0,0,0.0,,0.0,0.0,64.8,26.8,61.1,1007.2,24.9,14.6,285.1,24.6,9,,2021-05-17T05:44:32,2021-05-17T20:12:46,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-18,29.0,11.0,21.8,27.4,11.0,21.4,1.3,29.1,0.0,0,0.0,,0.0,0.0,46.4,14.8,224.6,1010.1,17.1,14.5,364.1,31.4,10,,2021-05-18T05:43:41,2021-05-18T20:13:41,0.22,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-19,32.0,15.0,23.4,29.8,15.0,22.8,3.8,30.7,0.0,0,0.0,,0.0,0.0,,13.0,66.8,1011.3,10.6,14.5,365.2,31.7,10,,2021-05-19T05:42:51,2021-05-19T20:14:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-20,33.0,13.0,23.4,30.6,13.0,22.7,6.0,38.8,0.0,0,0.0,,0.0,0.0,29.5,14.8,82.9,1014.1,3.5,14.5,364.7,31.5,10,,2021-05-20T05:42:03,2021-05-20T20:15:30,0.29,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-21,35.9,17.7,26.8,33.1,17.7,25.8,4.7,27.8,0.0,0,0.0,,0.0,0.0,22.3,18.4,58.9,1013.7,4.0,14.5,365.6,31.8,10,,2021-05-21T05:41:16,2021-05-21T20:16:24,0.33,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-22,34.5,22.0,26.9,32.1,22.0,26.0,4.2,24.8,0.3,100,4.17,rain,0.0,0.0,79.2,33.3,70.5,1009.0,41.6,12.6,278.5,24.0,10,,2021-05-22T05:40:32,2021-05-22T20:17:17,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-23,33.9,17.0,24.5,31.5,17.0,23.9,7.6,37.9,0.4,100,4.17,rain,0.0,0.0,96.1,49.5,48.6,1006.9,49.2,10.6,321.0,27.8,9,,2021-05-23T05:39:49,2021-05-23T20:18:09,0.39,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-24,30.9,13.0,21.9,29.1,13.0,21.6,8.5,46.6,5.0,100,4.17,rain,0.0,0.0,61.2,33.8,22.6,1012.7,36.3,13.1,251.0,21.8,8,,2021-05-24T05:39:08,2021-05-24T20:19:00,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-25,28.0,14.0,21.0,26.8,14.0,20.8,8.1,47.8,0.5,100,20.83,rain,0.0,0.0,14.8,27.1,79.0,1013.0,24.7,13.7,207.5,17.9,7,,2021-05-25T05:38:28,2021-05-25T20:19:50,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-26,26.0,13.0,19.3,26.0,13.0,19.3,7.5,51.8,0.1,100,4.17,rain,0.0,0.0,42.5,31.7,48.3,1012.8,31.6,14.5,298.6,26.0,9,,2021-05-26T05:37:51,2021-05-26T20:20:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-27,28.9,13.0,20.9,27.4,13.0,20.6,5.1,38.5,0.5,100,8.33,rain,0.0,0.0,31.7,27.7,43.3,1012.7,6.8,14.3,372.8,32.2,10,,2021-05-27T05:37:15,2021-05-27T20:21:29,0.53,Rain,Clear conditions throughout the day with morning rain.,rain,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
"Yerevan,Armenia",2021-05-28,32.8,16.0,24.2,30.5,16.0,23.6,7.1,36.9,0.0,0,0.0,,0.0,0.0,64.8,42.5,43.4,1008.7,22.0,14.5,352.1,30.3,9,,2021-05-28T05:36:41,2021-05-28T20:22:16,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
